L_501;L_503;L_511C;L_511R;L_512;L_521;L_551;L_561;L_562;Trasfega;Filtracao;Brassagem;Energia
0;0;3690.012;0;2767.212;275.2;424.8;2023.44;1803.6;4200;9371;16513.5;114426
2218.65;353.97;4507.634;0;5547.444;0;373.08;1963.2;2862.36;14605;15856;11188.5;129330
3158.55;3479.601;4045.126;0;7231.308;0;509.28;2261.76;4116.45;11868;15667;5221.2;136214
3055.2;3496.23;3563.384;0;2462.586;0;0;3180;3286.68;9449;14916;15260.8;142388
1161;3160.062;3001.553;0;5406.198;0;0;3347.28;2377.26;8652;10291;16432.8;148409
0;0;4416.257;0;6056.988;0;0;865.2;3291.15;3036;12912;15871.6;118256
0;0;4109.004;0;5685.54;0;801.72;1073.76;3612.84;12690;9568;12371;118759
0;0;2345.002;0;6502.566;0;0;2845.92;6079.8;11317;10123;10753.2;121909
0;763.83;3812.189;0;5618.256;40.8;0;3988.8;2985.672;8855;12740;9235.3;130788
1479.6;3138.879;4281.044;0;3950.142;81.5;395.64;4196.52;1090.008;8439;6326;15140.8;138124
2780.55;4028.772;4369.418;0;5802.804;138.5;372.48;1825.2;1608;9399;21116;15939.1;149398
3021.6;94.53;4370.611;0;6210.918;0;0;1814.4;3265.47;9227;15318;7041.7;130038
3893.4;0;4785.981;0;6714.54;0;0;1840.8;5621.76;12350;9603;18764.5;140720
321.15;1682.91;4039.801;0;6565.356;0;0;797.4;4134.3;6177;18550;5718.1;124701
3118.5;4216.452;4920.13;0;4741.043;0;0;4136.16;3103.32;11346;8680;0;120418
497.55;456.78;2195.412;0;3378.425;0;0;1351.32;2429.43;3790;7433;1372.5;111190
0;0;3795.66;0;4049.365;0.9;0;3121.2;790.74;12199;14674;14659.2;110140.57
0;1906.125;4066.895;0;5693.991;0;0;3450;1128.96;4922;12656;12935.5;117327.87
0;2860.257;4395.808;0;6273.256;0;0;3261.6;1439.016;5963;8360;15990.1;132307.35
0;0;4925.582;0;6213.901;0;0;0;2556.954;5874;12474;16492.7;116837.54
0;2352.21;3657.253;0;5886.258;0;0;2048.16;3083.4;10437;5580;7439.7;122182.31
0;2504.01;4389.504;0;6091.236;0;200.664;3200.88;2403.78;5856;22826;3109.3;121523.6
0;3256.8;2191.855;0;7030.705;206.3;0;3715.32;1230.24;8938;15001;11995;126368.01
0;1894.05;3781.688;0;3678.346;0;0;2911.8;4496.28;13790;9800;11019.9;125139.7
0;1769.85;3932.236;0;4731.441;0;592.2;3901.44;5692.2;6650;4009.2;12627.5;137914.62
2751.6;3588;4499.263;0;6803.817;0;0;3818.16;1576.44;11983;22120;14349.7;149867.35
2754.3;0;4534.323;0;6512.571;0;0;0;1862.64;4773;14000;15788.3;127625.28
3042;0;3397.691;0;6408.912;163.5;0;1752;2467.74;10059;11063;13682.9;131628.6
2717.55;213.141;3490.559;0;3376.904;0;0;2036.52;5793;6921;0;6927.7;125020.72
2972.7;2030.601;2662.735;0;4932.438;0;0;1830;2856.33;8476;0;4695.5;127398.4
1041.45;1790.067;4054.839;0;5218.5;306;0;2062.32;2930.88;11743;8065;18376.6;136829.83
0;2369.46;3964.101;0;5766.642;366.5;0;2629.2;4068.15;12720;10531;19412.4;138241.57
0;2737.851;4106.363;0;6409.284;0;0;3434.76;2798.82;6206;11550;14804.3;134308.54
0;1266.357;3895.983;0;6668.844;0;0;0;1950.348;15575;8680;15418;118328.56
793.8;0;3792.295;0;3787.056;0;0;1977.72;1653.12;2976;15862;14911.5;124000.29
3075.45;1812.63;3006.367;0;2512.692;0;402;1953.6;1826.64;8910;6953;5766.9;136849.58
2933.7;1863;2204.422;0;6912.276;359.5;0;3455.52;2847.72;8134;20871;12562.6;136052.15
3315.3;3542.322;2304.553;0;6895.602;173.5;0;2273.76;636.6;12154;9482;16587.3;134486.7
1467.9;3396.87;4101.933;0;7087.458;0;0;3794.4;1113.24;14754;13338;3591.4;124688.9
0;3764.778;4175.205;0;6553.89;0;0;3622.44;3475.68;16038;13555;17397.1;137523.3
1455.15;0;4542.182;0;3514.142;0;0;0;2398.56;5626;14514;17683.4;123465.4
3467.85;0;4410.165;0;5820.649;0;0;1200;1913.22;2951;13230;17581;137087.4
3476.4;1851.891;3938.52;0;6325.669;0;0;3182.4;3372.72;9290;12943;16424.3;147043.9
0;3376.86;3723.495;0;5041.652;389.4;0;2538.84;2758.56;9064;18631;16372.5;139668
3175.2;946.473;4434.106;0;6395.637;436;0;2634;4558.5;9366;10420;12760;140406.2
3714.45;1601.49;4812.607;0;5702.303;402;0;3225.84;5731.83;9086;12550;0;133407
0;1247.52;2816.073;0;1247.52;0;0;7015.8;0;12666;2484;3128.1;124347.0822
0;0;4083.955;0;0;0;0;643.68;5513.88;5975;18869;15791.6;117867.9117
0;0;2110.574;0;0;0;0;2268.6;3817.488;6014;10174;11389.5;111874.15
1786.8;1359.921;4567.423;0;1359.921;0;407.88;542.4;1436.112;12603;15537;15805.7;128721
3450.9;3679.632;4261.363;0;3679.632;413;385.8;2726.4;1885.8;9159;15020;10680.7;138672
2135.4;3408.186;4072.965;0;3408.186;52;196.992;3900.24;1807.68;12707;19644;15997.9;150347
1976.4;4082.73;3803.03;0;4082.73;325.4;0;2187.24;2053.32;13312;11998;7179.8;134724
3447.15;0;3827.12;0;0;0;0;3246.36;1721.34;3239;16585;6263.2;130063.4
0;0;4126.599;0;0;0;0;0;2311.02;6264;14952;11731.8;109689.743
0;0;3058.403;0;0;132;409.08;2635.08;2810.19;12348;16166;15060;119203.336
491.4;1690.569;4079.653;0;1690.569;540;804.48;3226.44;2003.88;9544;7521;16024;133798.27
3463.5;3334.77;4165.344;0;3334.77;255;802.68;2008.92;3560.01;7761;16329;13910.4;152472.93
3658.5;2061.72;4020.758;0;2061.72;0;0;3241.2;4525.74;6256;18014;12270.5;146622.8
1544.55;0;2946.195;0;0;541;0;2977.08;4173.84;15425;12296;6634.9;131341.4355
1800.6;3243.483;4366.479;0;3243.483;120;0;3290.64;5267.64;9859;14820;17587.8;148970.79
0;0;3892.532;0;0;0;0;0;0;9269;21199;18825.5;104701.59
0;2067.102;2602.774;0;2067.102;0;0;1835.04;1384.08;15506;6024;11382.7;127561.962
0;3613.944;4275.805;0;3613.944;150;0;3149.64;976.5;6112;10441;3466.4;126838.701
2633.7;0;3667.519;0;0;247.9;0;2664;1250.73;8989;15568;17942.5;136413.67
3567.75;3415.638;3869.912;0;3415.638;0;0;1850.76;4357.26;11711;12995;17901.2;152215.34
1571.25;3128.391;4606.444;0;3128.391;322;0;1707.84;3118.26;12274;19870;8089.8;138900.38
2296.35;3188.421;4172.372;0;3188.421;78.3;0;0;4679.88;12884;19066;18304.4;143260
0;2972.313;4596.412;0;2972.313;0;0;0;4862.7;3905;16770;21670.7;140396.315
0;1456.728;2992.906;0;1456.728;0;0;0;3260.52;12260;0;3604;111527.46
0;0;4376.788;0;0;231.3;0;0;2507.82;9232;19249;12264.9;98916
2938.2;3064.221;4017.287;0;3064.221;388;182.232;265.68;2391.12;8517;9393;15806.6;126642
3303.75;3537.285;2134.771;0;3537.285;299.3;595.8;2179.32;4444.44;6426;17440;11857.9;149267.87
4040.55;3239.619;0;0;3239.619;377.8;746.4;2271;5306.04;12577;15222;15226.8;143012
933.75;2734.47;0;0;2734.47;0;0;4141.32;3519.48;6229;18095;18006.6;141888
0;3320.556;1747.239;0;3320.556;0;0;0;3275.28;6367;5947;14854;124290
3312.3;2648.358;5358.612;0;2648.358;418;0;2394.48;3220.848;9841;16463;12033.2;137692
2203.35;0;3038.53;0;3375.923;185.8;0;1757.52;1655.64;12934;12773;1702.5;122722
3344.7;1366.2;2988.219;0;7014.122;0;411.6;2601.48;5105.55;18331;14936;17307.4;142823
1428.9;2783.874;2106.272;0;5932.7;219.4;378.96;2928.36;1239;9290;11185;13900.3;131996
1675.5;2998.947;3757.767;0;6104.43;450;0;2958.48;1649.508;6386;15730;17030.3;141323
3622.5;2935.467;4858.445;0;6569.948;279;0;2623.08;2378.784;6340;18181;16814.8;145189
1826.25;0;3881.499;0;6848.686;0;0;0;3041.88;6139;13350;11397;121274
0;0;4021.993;0;5191.835;0;0;2637.12;1461.39;5959;8160;3454.6;108081
0;0;3777.449;0;1240.319;0;0;2157.96;1288.23;12107;11980;10553.5;113382
3309;3457.797;4183.98;0;2906.976;287.9;0;2150.16;2011.47;10195;11650;15624.8;129512
3156.6;3640.578;3033.674;0;6296.295;181.5;0;2583.6;0;6399;15497;13595.6;131660
0;2926.221;3755.957;0;6460.721;406.5;0;2102.4;4.65;12241;10163;11248.1;124218
