L_501,L_503,L_511C,L_511R,L_512,L_521,L_551,L_561,L_562,Trasfega,Filtracao,Brassagem,Energia,anomaly
0.0,1266.357,3895.983,0.0,6668.844,0.0,0.0,0.0,1950.348,15575,8680.0,15418.0,118328.56,1
793.8,0.0,3792.295,0.0,3787.056,0.0,0.0,1977.72,1653.12,2976,15862.0,14911.5,124000.29,1
3075.45,1812.63,3006.367,0.0,2512.692,0.0,402.0,1953.6,1826.64,8910,6953.0,5766.9,136849.58,1
2933.7,1863.0,2204.422,0.0,6912.276,359.5,0.0,3455.52,2847.72,8134,20871.0,12562.6,136052.15,1
3315.3,3542.322,2304.553,0.0,6895.602,173.5,0.0,2273.76,636.6,12154,9482.0,16587.3,134486.7,1
1467.9,3396.87,4101.933,0.0,7087.458,0.0,0.0,3794.4,1113.24,14754,13338.0,3591.4,124688.9,1
0.0,3764.778,4175.205,0.0,6553.89,0.0,0.0,3622.44,3475.68,16038,13555.0,17397.1,137523.3,1
1455.15,0.0,4542.182,0.0,3514.142,0.0,0.0,0.0,2398.56,5626,14514.0,17683.4,123465.4,1
3467.85,0.0,4410.165,0.0,5820.649,0.0,0.0,1200.0,1913.22,2951,13230.0,17581.0,137087.4,1
3476.4,1851.891,3938.52,0.0,6325.669,0.0,0.0,3182.4,3372.72,9290,12943.0,16424.3,147043.9,1
0.0,3376.86,3723.495,0.0,5041.652,389.4,0.0,2538.84,2758.56,9064,18631.0,16372.5,139668.0,1
3175.2,946.473,4434.106,0.0,6395.637,436.0,0.0,2634.0,4558.5,9366,10420.0,12760.0,140406.2,1
0.0,0.0,4083.955,0.0,0.0,0.0,0.0,643.68,5513.88,5975,18869.0,15791.6,117867.9117,-1
0.0,0.0,2110.574,0.0,0.0,0.0,0.0,2268.6,3817.488,6014,10174.0,11389.5,111874.15,1
1786.8,1359.921,4567.423,0.0,1359.921,0.0,407.88,542.4,1436.112,12603,15537.0,15805.7,128721.0,1
3450.9,3679.632,4261.363,0.0,3679.632,413.0,385.8,2726.4,1885.8,9159,15020.0,10680.7,138672.0,1
2135.4,3408.186,4072.965,0.0,3408.186,52.0,196.992,3900.24,1807.68,12707,19644.0,15997.9,150347.0,1
1976.4,4082.73,3803.03,0.0,4082.73,325.4,0.0,2187.24,2053.32,13312,11998.0,7179.8,134724.0,1
3447.15,0.0,3827.12,0.0,0.0,0.0,0.0,3246.36,1721.34,3239,16585.0,6263.2,130063.4,1
0.0,0.0,4126.599,0.0,0.0,0.0,0.0,0.0,2311.02,6264,14952.0,11731.8,109689.743,1
3463.5,3334.77,4165.344,0.0,3334.77,255.0,802.68,2008.92,3560.01,7761,16329.0,13910.4,152472.93,1
